day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW,LAT,LON,ELEV,IRRAD,TMIN,TMAX,VAP,RAIN,E0,ES0,ET0,WIND,SNOWDEPTH,year,crop,site
2009-08-01,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,28580000.0,23.0,33.74,28.09437622397069,0.0,0.8423247326951104,0.7527286358938284,0.6754951321866132,3.62,0.0,2009,wheat,NileDelta
2009-08-02,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,28090000.0,23.07,34.3,28.213544828443887,0.0,0.8322410338420371,0.7438571341318123,0.675858403734354,3.35,0.0,2009,wheat,NileDelta
2009-08-03,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,28740000.0,22.45,34.46,27.17324062789395,0.0,0.8061138389595968,0.7159263630169612,0.6621195999035516,2.4,0.0,2009,wheat,NileDelta
2009-08-04,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,27970000.0,23.42,35.82,28.81603062764309,0.0,0.841914882424603,0.7529721957216144,0.6927632507922356,2.85,0.0,2009,wheat,NileDelta
2009-08-05,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,28030000.0,24.08,35.85,29.98275607665335,0.0,0.8385162821167269,0.7490444294558919,0.6870623862216086,2.78,0.0,2009,wheat,NileDelta
2009-08-06,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,28110000.0,23.25,35.52,28.522006755110958,0.0,0.8261072531815271,0.7369529443645628,0.6795475086185041,2.63,0.0,2009,wheat,NileDelta
2009-08-07,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,27110000.0,23.2,34.05,28.43602902927639,0.0,0.8052823892709627,0.7200412924223394,0.6510775979757829,3.31,0.0,2009,wheat,NileDelta
2009-08-08,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26750000.0,23.97,33.34,29.78548665265814,0.0,0.7821690506120599,0.6980306293337215,0.6137956822967732,3.03,0.0,2009,wheat,NileDelta
2009-08-09,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26300000.0,24.35,32.87,30.47180277847279,0.0,0.7868727355099694,0.7041928912148715,0.6034758387363495,3.72,0.0,2009,wheat,NileDelta
2009-08-10,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26460000.0,24.14,32.97,30.090837258189378,0.0,0.7980889321166943,0.7149592637982476,0.6151481319841963,3.99,0.0,2009,wheat,NileDelta
