day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW,LAT,LON,ELEV,IRRAD,TMIN,TMAX,VAP,RAIN,E0,ES0,ET0,WIND,SNOWDEPTH,year,crop,site
2013-08-01,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,27540000.0,23.44,35.99,28.8507949733389,0.0,0.8323513474340294,0.7446840723829753,0.6831236896553399,2.65,0.0,2013,wheat,NileDelta
2013-08-02,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26830000.0,23.61,35.72,29.14777284425048,0.0,0.8323004873951682,0.7469404479830162,0.6881613476493742,3.27,0.0,2013,wheat,NileDelta
2013-08-03,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,27110000.0,23.86,34.08,29.58935060812264,0.0,0.8254025792866274,0.7398223515003425,0.6565897658903299,3.7,0.0,2013,wheat,NileDelta
2013-08-04,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26900000.0,23.59,33.38,29.11269637722956,0.0,0.8059120440358291,0.7214689727957235,0.6351826952850151,3.65,0.0,2013,wheat,NileDelta
2013-08-05,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,27080000.0,23.78,35.94,29.44741494791938,0.0,0.8242549768848674,0.73791458837462,0.6797102498176026,2.86,0.0,2013,wheat,NileDelta
2013-08-06,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,27050000.0,23.69,35.88,29.288447789934338,0.0,0.8431937734350846,0.7570199450872424,0.6980527810788479,3.39,0.0,2013,wheat,NileDelta
2013-08-07,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,27250000.0,23.96,34.8,29.76760935202552,0.0,0.8257434434331534,0.7393215682629812,0.6672219566649741,3.35,0.0,2013,wheat,NileDelta
2013-08-08,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26870000.0,23.0,34.22,28.09437622397069,0.0,0.809233691654313,0.7247619267794354,0.660218020248643,3.53,0.0,2013,wheat,NileDelta
2013-08-09,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26970000.0,23.47,34.47,28.903010123491917,0.0,0.8263816195741687,0.7412433405850096,0.6709771486015809,3.8,0.0,2013,wheat,NileDelta
2013-08-10,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26720000.0,23.9,34.62,29.66054201861608,0.0,0.8214835696900558,0.7368566761056872,0.663538789827135,3.69,0.0,2013,wheat,NileDelta
2013-08-11,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26850000.0,23.51,34.06,28.972758606697504,0.0,0.7946063715192743,0.7100265032386778,0.6397085901752492,3.18,0.0,2013,wheat,NileDelta
2013-08-12,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26030000.0,23.42,33.53,28.81603062764309,0.0,0.7570764428532526,0.6753739749223857,0.6048280272975826,2.8,0.0,2013,wheat,NileDelta
2013-08-13,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,25280000.0,23.53,32.39,29.00768789994231,0.0,0.7367131852336568,0.6578466336217877,0.5734562007588452,3.16,0.0,2013,wheat,NileDelta
2013-08-14,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26540000.0,23.79,34.19,29.46512435280669,0.0,0.7752839787194092,0.6914839919775919,0.6228993243736727,2.75,0.0,2013,wheat,NileDelta
2013-08-15,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26420000.0,23.05,34.71,28.17945171449713,0.0,0.7855871704373878,0.7022709462397756,0.6488822850831995,3.07,0.0,2013,wheat,NileDelta
2013-08-16,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,25910000.0,23.99,36.33,29.82126935833473,0.0,0.8319907372307027,0.749110863316642,0.6938112254681348,3.57,0.0,2013,wheat,NileDelta
2013-08-17,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,26240000.0,24.01,35.22,29.857089564151842,0.0,0.8172185235169837,0.7337817382620585,0.670640705820761,3.71,0.0,2013,wheat,NileDelta
2013-08-18,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,25550000.0,23.31,32.43,28.62547946753271,0.0,0.7506081247571245,0.6709852563882629,0.5872300042284899,3.62,0.0,2013,wheat,NileDelta
2013-08-19,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,25450000.0,24.37,33.5,30.50830367474632,0.0,0.7825971590373628,0.7022893017071696,0.6116825619470467,4.05,0.0,2013,wheat,NileDelta
2013-08-20,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,25510000.0,24.4,34.98,30.563126530167608,0.0,0.7957967899160396,0.7146139420548802,0.6457161953890946,3.65,0.0,2013,wheat,NileDelta
2013-08-21,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,25290000.0,23.93,35.61,29.714033609319568,0.0,0.7700557634174684,0.6895020897065682,0.6380921087344438,2.89,0.0,2013,wheat,NileDelta
2013-08-22,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,25580000.0,24.22,34.93,30.23547414457063,0.0,0.7595387564529335,0.6782366677649568,0.6163213778216272,2.67,0.0,2013,wheat,NileDelta
2013-08-23,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,25350000.0,23.29,33.74,28.59095221904006,0.0,0.7475370818812513,0.6679318225656321,0.605791684750552,3.15,0.0,2013,wheat,NileDelta
2013-08-24,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,24770000.0,23.52,32.88,28.990218662291213,0.0,0.7309058468937697,0.6534092786807643,0.5786220962558326,3.38,0.0,2013,wheat,NileDelta
2013-08-25,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,24890000.0,23.49,33.2,28.937866025398492,0.0,0.7257090440441102,0.6477037286017548,0.5797164943596519,3.02,0.0,2013,wheat,NileDelta
2013-08-26,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,25130000.0,22.75,32.78,27.67235339124153,0.0,0.7156273231248028,0.6374123530086537,0.5760362888384395,2.92,0.0,2013,wheat,NileDelta
2013-08-27,,,,,,,,,,0.3129386,,31.0,31.0,-99.0,25340000.0,23.8,33.53,29.48284305022085,0.0,0.7225029971745339,0.6427903027255616,0.57736110690252,2.51,0.0,2013,wheat,NileDelta
